experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
heat-gutenberg-00003-20,4028,910,2588,851,0.32882534775888717,0.9351648351648352,0.4865637507146941,0.5541211519364448,0.44587884806355516
heat-gutenberg-00003,16087,3627,10337,3372,0.32620682983457483,0.9296939619520265,0.48295617301632776,0.5511904021881022,0.4488095978118978
rf--le-neg--all,4028,910,354,162,0.4576271186440678,0.17802197802197803,0.2563291139240506,0.7666335650446872,0.23336643495531284
rf--le-neg--eall,4028,910,18,10,0.5555555555555556,0.01098901098901099,0.02155172413793104,0.7745779543197616,0.22542204568023838
rf--le-neg--le10k,4028,910,1093,538,0.4922232387923147,0.5912087912087912,0.5371942086869695,0.7698609731876862,0.2301390268123138
rf--le-neg--le1k,4028,910,2032,799,0.39320866141732286,0.878021978021978,0.5431679129843644,0.6663356504468719,0.33366434955312807
rf--le-neg--le5k,4028,910,1374,626,0.4556040756914119,0.6879120879120879,0.5481611208406305,0.7437934458788481,0.2562065541211519
rf--le-red--le,4028,910,3952,907,0.22950404858299595,0.9967032967032967,0.37309749074454956,0.24329692154915591,0.7567030784508441
rf--le-reu--all,4028,910,3923,900,0.22941626306398163,0.989010989010989,0.37243947858473,0.24702085402184706,0.752979145978153
rf--le-reu--le,4028,910,3836,892,0.23253388946819603,0.9802197802197802,0.37589549093973873,0.2646474677259186,0.7353525322740815
rf--le-reu-red--le,4028,910,3866,899,0.23254009311950335,0.987912087912088,0.376465661641541,0.26067527308838134,0.7393247269116187
rf--le-reu-red--le10k,4028,910,3890,905,0.2326478149100257,0.9945054945054945,0.3770833333333333,0.2576961271102284,0.7423038728897716
